cath_id,count
6.10.140.1990,4
2.20.25.110,7
1.10.220.100,8
3.40.50.700,2
3.30.160.110,7
2.60.40.1570,5
6.10.140.910,30
3.40.50.20,16
3.30.470.20,21
3.30.1490.20,18
2.60.40.3430,8
6.10.250.1510,1
3.30.70.1350,5
1.20.5.4280,2
3.30.1490.190,7
1.20.58.1470,4
6.10.250.2410,9
3.10.350.10,3
2.60.120.230,3
3.30.1140.60,3
3.90.1150.210,4
3.90.780.10,1
6.10.250.2820,3
1.20.5.4820,6
2.40.50.90,14
3.10.130.10,11
1.25.40.200,3
3.90.1460.10,10
3.30.420.80,4
3.30.70.420,1
2.10.220.10,21
3.90.1490.10,1
3.20.20.190,6
2.40.155.10,7
1.20.58.1070,4
2.60.120.430,14
1.10.357.70,5
3.30.565.10,15
1.10.720.10,5
3.30.2010.30,5
2.60.40.1910,2
3.40.1820.20,1
1.10.3200.20,1
3.90.199.10,1
1.10.268.10,1
3.10.180.20,1
2.30.29.110,5
1.10.10.440,7
3.10.620.30,2
1.10.287.310,5
1.10.101.10,6
1.10.287.190,2
1.20.910.10,2
1.20.120.770,12
2.60.40.1110,9
1.10.950.10,7
1.20.58.860,3
6.10.250.1290,7
3.30.1330.10,3
3.30.1640.10,8
3.30.70.141,12
3.30.1150.10,2
6.10.140.370,1
6.10.250.2090,2
1.10.287.20,4
1.10.287.1890,4
3.30.1330.20,18
2.20.25.100,2
1.25.40.760,5
1.10.10.520,2
3.10.290.20,3
1.10.1650.10,1
1.20.58.1290,1
1.50.40.10,2
3.90.1170.10,3
1.10.3560.10,1
3.90.1530.10,1
3.30.230.80,3
3.40.50.1970,1
3.30.70.920,6
1.25.40.190,5
3.10.660.10,3
3.10.20.230,10
2.60.40.3880,11
2.60.120.620,8
3.40.50.12700,3
3.40.50.1010,7
6.10.140.860,1
6.10.140.440,8
3.30.720.110,2
2.40.30.170,6
6.10.280.190,5
1.10.8.270,8
1.20.5.740,11
1.10.390.40,2
3.40.50.10810,6
1.10.418.70,3
2.60.120.1370,3
2.60.40.3020,2
2.60.40.1400,14
1.20.1250.10,49
2.40.50.110,5
2.40.50.860,1
1.10.246.120,4
1.10.12.70,3
3.40.1580.10,1
3.30.110.20,1
3.10.490.10,4
6.10.250.2700,3
1.20.5.960,2
1.10.8.1310,4
3.20.20.370,2
3.30.830.10,9
3.30.160.160,3
3.40.50.2060,15
3.90.830.10,5
6.10.250.400,3
3.40.930.10,3
1.25.40.320,9
2.40.40.20,3
3.10.330.10,7
1.20.5.5100,2
3.30.160.340,2
1.10.20.140,1
1.10.287.890,1
2.130.10.130,7
1.20.5.100,10
3.40.50.10140,13
3.30.379.10,2
1.20.58.420,13
2.30.30.90,2
2.30.30.690,1
1.20.5.140,1
3.30.1120.30,8
3.30.559.70,1
2.60.120.820,16
3.90.132.10,1
1.20.5.2230,1
3.40.50.10490,11
1.20.5.240,2
3.30.310.40,1
1.10.340.30,3
1.10.472.60,1
1.25.40.530,1
1.10.260.60,1
2.30.29.50,4
3.30.530.20,19
3.30.310.50,11
1.20.58.110,4
1.10.220.20,3
2.170.150.20,3
1.20.58.410,9
3.10.320.10,16
2.60.120.20,2
3.40.1490.10,2
1.10.357.50,10
1.20.1310.30,6
3.40.50.261,5
2.60.120.660,4
6.10.140.1230,1
3.40.50.12820,3
3.30.750.70,2
3.20.20.60,7
1.10.287.3490,5
1.10.287.2460,5
1.20.120.1240,4
2.130.10.30,3
