cath_id,count
1.10.287.310,1
3.40.1670.10,1
1.10.287.1520,2
3.40.190.100,1
3.40.1000.10,1
3.40.50.10750,3
2.60.120.1030,2
1.10.274.20,1
3.30.70.2360,2
2.60.460.10,1
3.40.50.10740,1
3.50.30.60,1
2.170.170.11,1
1.20.1220.12,2
3.40.1030.10,1
1.25.40.320,1
3.30.310.100,1
3.30.460.30,1
1.10.287.630,1
3.30.70.1050,1
3.40.960.10,1
3.90.105.10,1
2.170.190.11,1
2.40.340.10,1
3.30.470.10,1
3.30.70.940,1
1.10.132.110,1
3.30.428.10,3
2.60.300.12,3
2.10.260.10,1
3.30.1370.50,1
3.30.310.10,1
3.10.450.20,1
3.90.1150.130,1
3.30.1320.10,1
3.30.70.1170,1
3.30.160.20,6
3.30.230.20,1
3.30.1700.10,1
1.20.1440.40,1
3.30.310.230,1
1.20.58.410,3
1.20.5.1500,2
1.10.287.2460,2
2.40.50.1020,2
2.40.37.10,4
6.10.250.980,1
3.30.1360.30,1
1.10.760.10,2
2.40.50.590,1
6.10.280.50,1
6.20.390.10,1
3.40.50.10330,2
2.60.200.40,1
3.30.1150.10,1
1.10.1220.80,1
3.30.2320.80,2
3.30.70.140,1
2.30.30.20,1
6.10.250.80,1
3.40.1050.10,2
3.30.910.10,1
2.40.50.110,2
1.10.40.50,1
1.20.5.4770,1
3.40.50.10930,1
1.10.10.160,2
3.40.50.11570,1
1.10.286.20,1
1.10.30.50,1
3.40.390.30,1
3.30.920.80,1
3.30.160.160,1
3.60.15.10,2
1.25.40.880,1
1.20.1540.10,1
3.30.2010.10,2
1.10.1070.11,2
3.30.1300.10,1
3.30.1220.10,1
3.30.70.1130,1
3.40.449.10,1
2.170.8.10,1
3.90.228.20,1
3.30.420.60,1
1.10.8.540,1
3.40.50.12790,1
1.10.10.800,1
1.20.920.30,1
1.20.5.190,2
4.10.180.60,1
2.70.40.10,1
1.10.238.160,2
3.30.70.1400,1
3.10.20.860,1
3.40.1380.10,1
3.30.70.1770,1
3.90.1150.180,1
1.10.238.10,3
2.60.40.420,7
3.10.150.10,3
1.20.930.10,2
6.10.250.2840,1
3.90.1200.10,3
3.10.510.20,1
2.10.290.10,1
3.30.1490.300,1
1.20.272.10,3
3.30.70.3400,1
3.30.1830.10,1
1.10.3880.10,1
1.10.10.650,2
3.90.1170.20,1
2.40.33.40,1
2.60.40.3110,1
1.10.1900.20,1
3.90.470.20,1
1.10.1050.10,1
1.10.8.350,1
1.10.530.10,3
1.10.287.680,1
1.10.3190.10,1
3.30.70.3500,1
4.10.820.10,1
3.50.80.10,1
1.10.287.370,1
1.10.101.10,1
3.40.1390.30,2
1.10.10.2520,1
1.20.1270.60,1
3.30.1370.170,1
2.20.20.40,1
3.60.140.10,1
6.10.250.2500,1
2.60.450.10,2
3.30.70.1320,3
3.30.300.90,2
1.20.5.480,1
1.20.1270.340,1
2.60.120.460,1
3.90.1150.40,2
1.25.40.310,1
3.40.50.790,1
1.10.220.30,2
1.20.1510.10,1
3.30.70.1350,1
3.30.750.190,1
1.10.3130.10,1
3.40.1190.10,2
1.20.1180.10,1
2.40.128.200,1
3.90.380.10,1
2.102.10.10,3
2.60.120.520,1
1.10.4030.10,2
1.20.1550.10,1
3.30.70.141,1
6.10.250.1010,1
2.40.50.1070,2
1.20.120.470,1
1.10.240.10,1
3.90.230.10,1
1.20.1200.10,1
3.30.1360.20,1
1.10.287.2170,1
3.40.50.1010,2
1.10.287.3810,1
2.60.40.1370,1
2.30.330.10,2
1.10.490.10,1
2.70.210.12,1
4.10.520.10,2
1.10.790.10,1
1.50.10.10,1
3.30.720.210,1
1.10.287.460,1
1.10.268.10,2
2.60.98.20,1
1.20.5.3960,1
3.30.1060.10,1
1.10.287.340,1
6.10.250.1060,1
3.40.1690.10,1
1.20.58.2200,1
3.30.450.150,1
6.10.250.1560,1
1.20.5.2280,1
3.50.30.20,1
6.10.250.1970,1
3.30.70.2190,1
3.40.50.700,1
4.10.480.10,2
3.30.750.140,1
3.40.50.11270,1
3.40.50.10990,1
3.30.70.1660,2
1.20.58.220,3
1.20.58.970,2
3.40.190.90,2
1.10.287.2320,2
2.40.33.20,1
1.20.1280.290,2
1.20.1410.10,1
1.25.40.20,2
3.30.230.80,1
3.40.50.11260,1
1.20.120.790,1
1.10.8.370,1
1.10.150.210,1
1.25.40.80,1
1.10.579.10,1
1.20.58.70,1
1.20.1370.30,1
6.10.140.1390,1
3.50.30.40,1
6.10.250.2580,1
1.20.1590.10,1
1.20.960.10,1
1.10.287.1480,1
2.40.440.10,3
1.10.890.30,1
1.10.3680.10,1
3.40.462.20,1
1.20.120.1060,1
6.10.250.790,1
2.40.280.10,1
3.30.1420.10,1
1.10.10.370,1
3.40.50.11830,1
1.10.287.600,1
3.30.860.10,1
1.10.357.140,1
1.20.120.400,1
3.30.1360.120,1
1.20.120.430,1
1.20.5.390,1
3.40.50.12580,1
2.40.128.280,1
3.90.930.12,2
3.90.70.10,1
1.10.287.1240,2
1.10.150.300,1
6.10.140.680,1
3.30.830.10,8
1.10.287.1770,1
6.10.250.3360,1
3.40.1080.20,1
2.60.40.1860,1
1.20.1420.20,1
3.40.1550.10,1
2.40.240.20,1
1.20.120.1600,1
3.40.1420.10,1
1.10.287.690,1
2.40.360.10,1
3.30.1520.20,1
1.10.3910.10,1
1.10.285.10,1
3.30.160.270,1
6.10.250.660,1
3.90.420.10,1
3.30.300.160,1
1.20.58.1160,1
6.20.250.30,1
3.40.50.10700,1
1.10.1240.30,1
2.40.128.120,1
2.40.50.540,1
3.40.1650.10,1
2.70.150.10,1
3.40.50.670,2
2.30.30.380,1
3.30.1140.32,1
1.10.287.670,2
3.30.70.3280,1
6.10.140.40,1
1.20.5.990,2
2.40.50.220,1
2.60.120.480,1
3.40.1210.10,1
1.10.1740.70,1
3.40.30.80,1
3.40.50.11240,1
2.60.120.370,1
1.10.1520.10,1
1.20.5.3730,1
1.20.59.20,1
1.10.287.540,1
1.10.8.590,2
6.10.250.160,1
6.10.140.1710,1
3.30.300.180,1
1.10.1750.10,1
1.10.8.330,1
1.10.8.490,1
3.10.650.10,1
2.40.430.10,1
1.10.10.620,1
1.10.10.2480,1
1.10.10.2250,1
3.30.420.270,1
3.40.5.10,1
3.10.430.100,1
3.30.530.50,1
3.30.310.170,1
1.10.720.160,1
3.40.50.10810,1
3.30.360.80,1
1.20.1270.220,1
3.100.10.10,1
1.10.150.530,2
1.20.58.1630,1
1.20.5.2230,1
3.55.30.10,1
3.90.1280.10,1
2.40.128.130,1
3.40.50.10940,1
2.40.128.100,1
3.40.50.10050,1
3.30.450.80,1
1.20.5.290,1
2.40.30.230,1
1.20.1270.330,1
3.50.14.10,1
3.30.54.10,1
6.10.250.320,1
1.10.1240.10,1
1.10.288.10,1
3.30.1120.10,1
2.60.40.60,1
1.10.1200.10,1
3.90.1170.10,1
2.40.50.580,1
3.40.1350.60,1
3.30.70.3450,1
1.20.120.1320,1
3.30.160.250,1
3.30.700.10,1
2.40.128.30,1
2.60.40.1250,1
3.30.70.1300,1
2.60.40.760,1
3.30.300.150,1
6.10.250.2560,1
1.10.10.610,1
3.90.1210.10,1
2.30.30.760,1
3.30.1490.480,1
1.20.5.260,1
1.20.930.20,1
1.20.1290.10,1
1.10.167.10,1
3.90.660.10,1
2.40.30.30,1
3.50.40.10,1
3.30.70.380,1
1.20.1270.460,1
2.20.25.420,1
2.60.120.1090,1
3.30.1810.10,1
3.30.1460.10,1
3.30.1710.10,1
6.20.330.10,2
6.10.250.2830,1
3.30.1850.10,1
3.90.1110.10,1
2.30.150.10,1
2.60.40.1220,1
1.10.287.620,2
3.30.260.10,1
3.50.7.10,1
1.10.132.20,1
1.20.1420.10,1
1.10.287.3990,1
2.30.130.30,1
4.10.320.10,1
3.40.50.220,1
3.30.420.100,1
6.10.250.1980,1
3.40.50.10440,1
3.30.1180.20,1
3.30.420.380,1
3.30.70.1060,1
2.30.30.220,1
1.10.286.10,1
2.60.200.30,1
